wavelength_nm,E_direct_W_m2_um,E_diffuse_W_m2_um
743,92.75752944575122,18.51762456553884
744,93.21663271400378,18.580705757313304
745,93.49589140311997,18.601400513173864
746,93.6222115263786,18.586892565245307
747,93.64885677182161,18.54941734078675
748,93.6280559079874,18.50053210067947
749,93.59192975284913,18.447348846965163
750,93.54948181157881,18.39214038984976
751,93.49367438072252,18.33390950730681
752,93.40641796613986,18.269417299030874
753,93.24187753570807,18.189899095386217
754,92.85524205633885,18.067204957119074
755,91.85051141535244,17.82441548166151
756,89.41967015315568,17.305171276980207
757,84.44759882948696,16.294622855896762
758,76.1837612907076,14.649052271007479
759,65.23788748303038,12.48612987181668
760,53.90822406634995,10.24590471223757
761,45.134712015150605,8.489787313785417
762,40.86125829603809,7.589386901903269
763,41.34181038862444,7.596315863909754
764,45.69497644788664,8.348150852461247
765,52.65505943038773,9.610019954678007
766,60.851409272230974,11.125992325999295
767,68.92697983855354,12.63979148533877
768,75.81064473138021,13.94504029018482
769,80.97787968161091,14.934901335294986
770,84.46243306370255,15.60665616504356
771,86.62855481305009,16.02176711630685
772,87.89513916693485,16.255703255512643
773,88.57977685507409,16.36848776898382
774,88.88584693183962,16.40085143685881
775,88.95053214116516,16.38154722562892
776,88.8794353325545,16.332762443921006
777,88.75625149815761,16.271739764346655
778,88.64149450894594,16.21080137373925
779,88.56139934003214,16.15548453526241
780,88.49512464690557,16.10219575838392
781,88.38614255337548,16.04030736609593
782,88.18158649783894,15.959452418130567
783,87.86163272424507,15.855025257418209
784,87.42652409405704,15.726000487127314
785,86.86395935315433,15.56937052214934
786,86.14834427030691,15.38064410302353
787,85.28131682208272,15.161865211343569
788,84.3283645335153,14.928460312153806
789,83.41075153372206,14.707078162568292
790,82.65747383152971,14.525151742870879
791,82.15070995744104,14.398794605017223
792,81.89353561623514,14.325589108142141
793,81.81178201453518,14.285775736317227
794,81.79399541275498,14.252666246019656
795,81.75762637973014,14.208229214360117
796,81.68738448852766,14.150895626174446
797,81.59030973662803,14.084386075470048
798,81.42095549876397,14.001491485493085
799,81.13149425281308,13.896641029061652
800,80.81507476636015,13.795052510384934
801,80.6398623709386,13.732740592371657
802,80.67567833528823,13.719771694336949
803,80.89350095075805,13.745149449858577
804,81.21659387450637,13.79008484726432
805,81.52542856229472,13.829337345537043
806,81.6605424825228,13.831494904704773
807,81.459943378271,13.765972103143953
808,80.80369921792365,13.611464068041043
809,79.61549621613815,13.356310103433454
810,77.83203639436569,12.99265198855077
811,75.4095794668842,12.516855709642485
812,72.40166930999916,11.942247349492643
813,69.04564022212683,11.313344885947608
814,65.75239854798595,10.703474685844052
815,62.978503893785394,10.192299474707339
816,61.082469040971915,9.84088047210468
817,60.25586313363223,9.679978549806242
818,60.48569742203034,9.704188492858325
819,61.480658969048186,9.86004023353356
